long,lat,BestGuess,Pro_2_Anti_1_Neutral_0,City_State,City,State
-85.4807825,32.6098566,0,0,"Auburn, AL",Auburn,AL
-86.5861037,34.7303688,1100,0,"Huntsville, AL",Huntsville,AL
-88.0398912,30.6953657,200,0,"Mobile, AL",Mobile,AL
-149.9002778,61.2180556,2000,0,"Anchorage, AK",Anchorage,AK
-147.7163889,64.8377778,1000,0,"Fairbanks, AK",Fairbanks,AK
-134.4197222,58.3019444,300,0,"Juneau, AK",Juneau,AK
-112.0740373,33.4483771,5000,1,"Phoenix, AZ",Phoenix,AZ
-110.926479,32.2217429,200,1,"Tucson, AZ",Tucson,AZ
-111.651302,35.1982836,0,1,"Flagstaff, AZ",Flagstaff,AZ
-114.3224548,34.483901,0,1,"Lake Havasu City, AZ",Lake Havasu City,AZ
-111.7609896,34.8697395,0,0,"Sedona, AZ",Sedona,AZ
-118.2436849,34.0522342,500,0,"Fayetteville, AR",Fayetteville,AR
-92.2895948,34.7464809,1000,0,"Little Rock, AR",Little Rock,AR
-117.9242966,33.8703596,7000,1,"Los Angeles, CA",Los Angeles,CA
-118.3089661,34.1808392,0,1,"Burbank, CA",Burbank,CA
-121.7680088,37.6818745,1250,1,"Fullerton, CA",Fullerton,CA
-121.8946761,36.6002378,0,0,"Hayward, CA",Hayward,CA
-121.7680088,37.6818745,400,0,"Livermore, CA",Livermore,CA
-121.8946761,36.6002378,0,0,"Monterey, CA",Monterey,CA
-121.8946761,36.6002378,30,0,"Monterey, CA",Monterey,CA
-122.4869194,37.6138253,0,0,"Pacifica, CA",Pacifica,CA
-118.1445155,34.1477849,200,0,"Pasadena, CA",Pasadena,CA
-117.3961564,33.9533487,200,0,"Riverside, CA",Riverside,CA
-122.3916754,40.5865396,200,0,"Redding, CA",Redding,CA
-122.4194155,37.7749295,32500,1,"San Francisco, CA",San Francisco,CA
-122.272747,37.8715926,0,1,"Berkeley, CA",Berkeley,CA
-121.8863286,37.3382082,10000,1,"San Jose, CA",San Jose,CA
-119.7725868,36.7468422,0,1,"Fresno, CA",Fresno,CA
-121.4943996,38.5815719,12500,1,"Sacramento, CA",Sacramento,CA
-122.0307963,36.9741171,4000,0,"Santa Cruz, CA",Santa Cruz,CA
-122.7140548,38.440429,2000,0,"Santa Rosa, CA",Santa Rosa,CA
-117.1610838,32.715738,15000,1,"San Diego, CA",San Diego,CA
-116.5452921,33.8302961,0,1,"Palm Springs, CA",Palm Springs,CA
-104.990251,39.7392358,1500,0,"Walnut Creek, CA",Walnut Creek,CA
-105.2705456,40.0149856,17500,1,"Denver, CO",Denver,CO
-104.8213634,38.8338816,1000,1,"Boulder, CO",Boulder,CO
-72.6850932,41.7637111,900,1,"Colorado Springs, CO",Colorado Springs,CO
-75.1393498,38.7745565,750,0,"Grand Junction, CO",Grand Junction,CO
-77.0368707,38.9071923,750,0,"East Lyme, CT",East Lyme,CT
-122.0651819,37.9100783,1200,1,"Hartford, CT",Hartford,CT
-108.5506486,39.0638705,1500,0,"New Haven, CT",New Haven,CT
-72.2295237,41.3531533,24,0,"Lewes, DE",Lewes,DE
-72.9278835,41.308274,21000,1,"Washington, DC",Washington,DC
-82.3248262,29.6516344,0,0,"Clearwater, FL",Clearwater,FL
-80.1917902,25.7616798,1000,1,"Miami, FL",Miami,FL
-80.0533746,26.7153424,1000,0,"Gainesville, FL",Gainesville,FL
-80.0533746,26.7153424,300,0,"News Smyrna Beach, FL",News Smyrna Beach,FL
-80.9269984,29.0258191,3500,0,"St. Petersburg, FL",St. Petersburg,FL
-82.8001026,27.9658533,4000,0,"Tallahassee, FL",Tallahassee,FL
-82.6267345,27.7518284,200,0,"Titusville, FL",Titusville,FL
-83.357567,33.9519347,300,0,"West Palm Beach, FL",West Palm Beach,FL
-80.8075537,28.6122187,0,0,"West Palm Beach, FL",West Palm Beach,FL
-84.2807329,30.4382559,600,0,"Athens, GA",Athens,GA
-157.8583333,21.3069444,13500,1,"Atlanta, GA",Atlanta,GA
-84.3879824,33.7489954,24,0,"Savannah, GA",Savannah,GA
-81.0998342,32.0835407,0,0,"Valdosta, GA",Valdosta,GA
-83.2784851,30.8327022,1000,0,"Honolulu, HI",Honolulu,HI
-87.6297982,41.8781136,2000,0,"Boise, ID",Boise,ID
-89.6501481,39.7817213,500,0,"Pocatello, ID",Pocatello,ID
-116.2146068,43.6187102,40000,1,"Chicago, IL",Chicago,IL
-84.9994088,41.6347726,700,0,"Springfield, IL",Springfield,IL
-112.4455344,42.8713032,0,1,"Angola, IN",Angola,IN
