City,City_2,StateTerritory,Country,City_State,http://www.unbolt.net/geocode_convertor.php,,
Auburn,Auburn,AL,US,"Auburn, AL","-85.48078249999998,32.6098566",-85.4807825,32.6098566
Huntsville,Huntsville,AL,US,"Huntsville, AL","-86.58610369999997,34.7303688",-86.5861037,34.7303688
Mobile,Mobile,AL,US,"Mobile, AL","-88.0398912,30.6953657",-88.0398912,30.6953657
Anchorage,Anchorage,AK,US,"Anchorage, AK","-149.90027780000003,61.2180556",-149.9002778,61.2180556
Fairbanks,Fairbanks,AK,US,"Fairbanks, AK","-147.71638889999997,64.8377778",-147.7163889,64.8377778
Juneau,Juneau,AK,US,"Juneau, AK","-134.41972220000002,58.3019444",-134.4197222,58.3019444
Phoenix,Phoenix,AZ,US,"Phoenix, AZ","-112.07403729999999,33.4483771",-112.0740373,33.4483771
Tucson,Tucson,AZ,US,"Tucson, AZ","-110.92647899999997,32.2217429",-110.926479,32.2217429
Flagstaff,Flagstaff,AZ,US,"Flagstaff, AZ","-111.65130199999999,35.1982836",-111.651302,35.1982836
Lake Havasu City,Lake Havasu City,AZ,US,"Lake Havasu City, AZ","-114.3224548,34.483901",-114.3224548,34.483901
Sedona,Sedona,AZ,US,"Sedona, AZ","-111.76098960000002,34.8697395",-111.7609896,34.8697395
Fayetteville,Fayetteville,AR,US,"Fayetteville, AR","-118.2436849,34.0522342",-118.2436849,34.0522342
Little Rock,Little Rock,AR,US,"Little Rock, AR","-92.28959479999997,34.7464809",-92.2895948,34.7464809
Los Angeles,Los Angeles,CA,US,"Los Angeles, CA","-117.92429659999999,33.8703596",-117.9242966,33.8703596
Burbank,Burbank,CA,US,"Burbank, CA","-118.30896610000002,34.1808392",-118.3089661,34.1808392
Fullerton,Fullerton,CA,US,"Fullerton, CA","-121.76800880000002,37.6818745",-121.7680088,37.6818745
Hayward,Hayward,CA,US,"Hayward, CA","-121.89467609999997,36.6002378",-121.8946761,36.6002378
Livermore,Livermore,CA,US,"Livermore, CA","-121.76800880000002,37.6818745",-121.7680088,37.6818745
Monterey,Monterey,CA,US,"Monterey, CA","-121.89467609999997,36.6002378",-121.8946761,36.6002378
Monterey,Monterey,CA,US,"Monterey, CA","-121.89467609999997,36.6002378",-121.8946761,36.6002378
Pacifica,Pacifica,CA,US,"Pacifica, CA","-122.48691940000003,37.6138253",-122.4869194,37.6138253
Pasadena,Pasadena,CA,US,"Pasadena, CA","-118.14451550000001,34.1477849",-118.1445155,34.1477849
Riverside,Riverside,CA,US,"Riverside, CA","-117.3961564,33.9533487",-117.3961564,33.9533487
Redding,Redding,CA,US,"Redding, CA","-122.3916754,40.5865396",-122.3916754,40.5865396
San Francisco,San Francisco,CA,US,"San Francisco, CA","-122.41941550000001,37.7749295",-122.4194155,37.7749295
Berkeley,Berkeley,CA,US,"Berkeley, CA","-122.27274699999998,37.8715926",-122.272747,37.8715926
San Jose,San Jose,CA,US,"San Jose, CA","-121.88632860000001,37.3382082",-121.8863286,37.3382082
Fresno,Fresno,CA,US,"Fresno, CA","-119.7725868,36.7468422",-119.7725868,36.7468422
Sacramento,Sacramento,CA,US,"Sacramento, CA","-121.49439960000001,38.5815719",-121.4943996,38.5815719
Santa Cruz,Santa Cruz,CA,US,"Santa Cruz, CA","-122.03079630000002,36.9741171",-122.0307963,36.9741171
Santa Rosa,Santa Rosa,CA,US,"Santa Rosa, CA","-122.71405479999999,38.440429",-122.7140548,38.440429
San Diego,San Diego,CA,US,"San Diego, CA","-117.16108380000003,32.715738",-117.1610838,32.715738
Palm Springs,Palm Springs,CA,US,"Palm Springs, CA","-116.54529209999998,33.8302961",-116.5452921,33.8302961
Walnut Creek,Walnut Creek,CA,US,"Walnut Creek, CA","-104.990251,39.7392358",-104.990251,39.7392358
Denver,Denver,CO,US,"Denver, CO","-105.27054559999999,40.0149856",-105.2705456,40.0149856
