City,City_State,Location_Notes,StateTerritory,Country,Long,Lat,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,Actor,Claim,Pro_2_Anti_1_Neutral_0,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Source1,Source2,Source3
Auburn,"Auburn, AL",,AL,US,-85.4807825,32.6098566,4/22/17,,,0,,general protestors,March for Science,0,,,,,,,http://www.citizen-times.com/story/news/local/2017/04/22/march-science-brings-thousands-asheville-streets/100781180/,,
Huntsville,"Huntsville, AL",march ended at U.S. Space & Rocket Center,AL,US,-86.5861037,34.7303688,4/22/17,na,1100,1100,1100,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.al.com/news/huntsville/index.ssf/2017/04/best_signs_from_huntsvilles_ma.html,,
Mobile,"Mobile, AL",downtown,AL,US,-88.0398912,30.6953657,4/22/17,hundreds,200,200,200,general protestors,March for Science,0,rally,0,0,0,0,1,http://wkrg.com/2017/04/22/hundreds-march-for-science-on-earth-day-in-mobile/,,
Anchorage,"Anchorage, AK",,AK,US,-149.9002778,61.2180556,4/22/17,about 2000,2000,2000,2000,general protestors,March for Science,0,rally,0,0,0,0,1,http://www.alaskapublic.org/2017/04/22/two-thousand-people-march-for-science-in-anchorage/,,
Fairbanks,"Fairbanks, AK",Ryan Middle School,AK,US,-147.7163889,64.8377778,4/22/17,more than 1000,1000,1000,1000,general protestors,March for Science,0,rally,0,0,0,0,1,http://www.newsminer.com/news/local_news/more-than-gather-for-fairbanks-march-for-science/article_c086a41c-27c4-11e7-baef-e3ae8827382f.html,,
Juneau,"Juneau, AK",outside Capitol Building; march to Juneau Douglas High School,AK,US,-134.4197222,58.3019444,4/22/17,some 300,300,300,300,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.ktoo.org/2017/04/21/march-science-alaska-communities-host-events-urge-stand-science/,http://juneauempire.com/news/2017-04-23/juneau-turns-out-march-science,
Phoenix,"Phoenix, AZ","Historic City Hall; march Jefferson Street to Fifth Street, up Washington Street and then back to First Avenue",AZ,US,-112.0740373,33.4483771,4/22/17,thousands; na,2000,5000,8000,general protestors,March for Science,1,march; rally,0,0,0,0,1,http://www.azcentral.com/story/news/local/phoenix/2017/04/22/kids-education-focus-phoenix-march-science/100794754/,https://mic.com/articles/174970/photos-from-around-the-country-show-just-how-massive-the-march-for-science-really-is#.RFIH1fLBq,
Tucson,"Tucson, AZ",El Presidio Park,AZ,US,-110.926479,32.2217429,4/22/17,hundreds,200,200,200,general protestors,March for Science,1,rally,0,0,0,0,1,http://www.azcentral.com/story/news/local/arizona-science/2017/04/21/march-science-events-expected-draw-thousands-arizona/100749772/,http://www.wildcat.arizona.edu/article/2017/04/march-for-science-tucson-ua-community-shows-their-colors-on-earth-day,
Flagstaff,"Flagstaff, AZ",,AZ,US,-111.651302,35.1982836,4/22/17,,,0,,general protestors,March for Science,1,,,,,,,http://www.azcentral.com/story/news/local/arizona-science/2017/04/21/march-science-events-expected-draw-thousands-arizona/100749772/,,
Lake Havasu City,"Lake Havasu City, AZ",,AZ,US,-114.3224548,34.483901,4/22/17,,,0,,general protestors,March for Science,1,,,,,,,http://www.azcentral.com/story/news/local/arizona-science/2017/04/21/march-science-events-expected-draw-thousands-arizona/100749772/,,
Sedona,"Sedona, AZ",,AZ,US,-111.7609896,34.8697395,4/22/17,,,0,,general protestors,March for Science,0,,,,,,,http://www.azcentral.com/story/news/local/phoenix/2017/04/22/kids-education-focus-phoenix-march-science/100794754/,,
Fayetteville,"Fayetteville, AR",down Dickson Street and into a University of Arkansas auditorium,AR,US,-118.2436849,34.0522342,4/22/17,na,500,500,500,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.arkansasonline.com/news/2017/apr/23/hundreds-march-in-fayetteville-to-suppo/,,
Little Rock,"Little Rock, AR",Capitol,AR,US,-92.2895948,34.7464809,4/22/17,more than 1000,1000,1000,1000,general protestors; Sierra Club; the Museum of Discovery,March for Science,0,march; rally,0,0,0,0,1,http://www.thv11.com/news/local/hundreds-in-little-rock-march-for-science-saying-science-isnt-fake-news/433399874,http://www.arkansasonline.com/news/2017/apr/23/rally-at-capitol-promotes-science-20170/,
Los Angeles,"Los Angeles, CA",rally in Pershing Square; march to City Hall,CA,US,-117.9242966,33.8703596,4/22/17,"thousands; at least 12,000",2000,7000,12000,general protestors,March for Science,1,march; rally,,,,,1,http://www.latimes.com/science/sciencenow/la-sci-sn-march-for-science-la-20170422-story.html,,
Burbank,"Burbank, CA",,CA,US,-118.3089661,34.1808392,4/22/17,,,0,,general protestors,March for Science,1,march; rally,,,,,1,http://www.nbclosangeles.com/news/local/Thousands-Californians-Expected-Join-March-Science-420152204.html,,
Fullerton,"Fullerton, CA",downtown; city hall,CA,US,-121.7680088,37.6818745,4/22/17,about 1000,1000,1250,1500,general protestors,March for Science,1,march; rally,0,0,0,0,1,http://www.nbclosangeles.com/news/local/Thousands-Californians-Expected-Join-March-Science-420152204.html,http://www.ocregister.com/2017/04/22/thousands-gather-in-southern-california-as-part-of-march-for-science/,https://dailytitan.com/2017/04/over-a-thousand-marched-downtown-fullerton-nationwide-march-science/
Hayward,"Hayward, CA",,CA,US,-121.8946761,36.6002378,4/22/17,,,0,,general protestors,March for Science,0,,,,,,,http://www.mercurynews.com/2017/04/22/march-for-science-gets-underway-in-bay-area-with-thousands-marching-in-san-jose/,,
Livermore,"Livermore, CA",Livermore High School,CA,US,-121.7680088,37.6818745,4/22/17,300 to 400,300,400,500,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.mercurynews.com/2017/04/22/march-for-science-gets-underway-in-bay-area-with-thousands-marching-in-san-jose/,,
Monterey,"Monterey, CA",,CA,US,-121.8946761,36.6002378,4/22/17,,,0,,,March for Science,0,,,,,,1,FB,,
Monterey,"Monterey, CA",Monterey Bay Aquarium,CA,US,-121.8946761,36.6002378,4/22/17,,30,30,35,penguins; general protestors,March for Science,0,march,0,0,0,0,0,http://thehill.com/blogs/blog-briefing-room/news/330055-penguins-hold-their-own-science-march-of-the-penguins,https://www.facebook.com/montereybayaquarium/videos/10155185097032482/,
Pacifica,"Pacifica, CA",,CA,US,-122.4869194,37.6138253,4/22/17,,,0,,general protestors,March for Science,0,,,,,,,http://www.mercurynews.com/2017/04/22/march-for-science-gets-underway-in-bay-area-with-thousands-marching-in-san-jose/,,
Pasadena,"Pasadena, CA",California Institute of Technology,CA,US,-118.1445155,34.1477849,4/22/17,hundreds,200,200,200,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.mantecabulletin.com/section/140/article/143160/,,
Riverside,"Riverside, CA",Superior court to city hall,CA,US,-117.3961564,33.9533487,4/22/17,hundreds,200,200,200,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.pe.com/2017/04/22/hundreds-march-for-science-awareness-in-downtown-riverside/,,
Redding,"Redding, CA",downtown,CA,US,-122.3916754,40.5865396,4/22/17,hundreds,200,200,200,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.redding.com/story/news/local/2017/04/22/hundreds-march-science-redding/100798844/,,
San Francisco,"San Francisco, CA",Justin Herman Plaza and march up Market Street,CA,US,-122.4194155,37.7749295,4/22/17,estimated crowd of 15000,15000,32500,50000,general protestors,March for Science,1,march; rally,,,,,,http://www.nbclosangeles.com/news/local/Thousands-Californians-Expected-Join-March-Science-420152204.html,drone footage estimate: https://www.facebook.com/events/1855242758068186/permalink/1913618345563960/,
Berkeley,"Berkeley, CA",,CA,US,-122.272747,37.8715926,4/22/17,,,0,,general protestors,March for Science,1,march; rally,,,,,,http://www.nbclosangeles.com/news/local/Thousands-Californians-Expected-Join-March-Science-420152204.html,,
San Jose,"San Jose, CA",,CA,US,-121.8863286,37.3382082,4/22/17,na,10000,10000,10000,general protestors,March for Science,1,march; rally,0,0,0,0,1,http://www.mercurynews.com/2017/04/22/march-for-science-gets-underway-in-bay-area-with-thousands-marching-in-san-jose/,,
Fresno,"Fresno, CA",,CA,US,-119.7725868,36.7468422,4/22/17,,,0,,general protestors,March for Science,1,march; rally,,,,,,http://www.nbclosangeles.com/news/local/Thousands-Californians-Expected-Join-March-Science-420152204.html,,
Sacramento,"Sacramento, CA",capitol,CA,US,-121.4943996,38.5815719,4/22/17,"estimakted 10-15,000",10000,12500,15000,general protestors,March for Science,1,march; rally,0,0,0,0,1,http://www.sacbee.com/news/local/article146173409.html,,
Santa Cruz,"Santa Cruz, CA",Sam Lorenzo park,CA,US,-122.0307963,36.9741171,4/22/17,na,4000,4000,4000,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.mercurynews.com/2017/04/22/march-for-science-gets-underway-in-bay-area-with-thousands-marching-in-san-jose/,http://www.santacruzsentinel.com/environment-and-nature/20170422/santa-cruz-march-for-science-draws-thousands,
Santa Rosa,"Santa Rosa, CA",Juilliard Park to City Hall,CA,US,-122.7140548,38.440429,4/22/17,more than 2000,2000,2000,2000,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.pressdemocrat.com/news/6917027-181/santa-rosa-march-draws-more?artslide=0,,
San Diego,"San Diego, CA","Community Concourse in the Civic Center complex next to City Hall, followed by the march down Broadway to the Waterfront Park outside the County Administration Center",CA,US,-117.1610838,32.715738,4/22/17,more than 15000,15000,15000,15000,general protestors,March for Science,1,march; rally,0,0,0,0,1,http://www.cbs8.com/story/35214397/thousands-of-san-diegans-participate-in-science-march-downtown,,
Palm Springs,"Palm Springs, CA",,CA,US,-116.5452921,33.8302961,4/22/17,,,0,,general protestors,March for Science,1,march; rally,,,,,,http://www.nbclosangeles.com/news/local/Thousands-Californians-Expected-Join-March-Science-420152204.html,,
Walnut Creek,"Walnut Creek, CA",,CA,US,-104.990251,39.7392358,4/22/17,na,1500,1500,1500,general protestors,March for Science,0,,,,,,,http://www.mercurynews.com/2017/04/22/march-for-science-gets-underway-in-bay-area-with-thousands-marching-in-san-jose/,,
Denver,"Denver, CO",Civic Center,CO,US,-105.2705456,40.0149856,4/22/17,upwards of 15000,15000,17500,20000,general protestors,March for Science,1,march; rally,0,0,0,0,1,http://denver.cbslocal.com/2017/04/22/march-for-science-future-of-our-earth-is-at-stake/,,https://twitter.com/ScienceMarchDEN/status/855974773440094208
Boulder,"Boulder, CO",bandsehll to downtown,CO,US,-104.8213634,38.8338816,4/22/17,about 1000,1000,1000,1000,general protestors,March for Science,1,,,,,,,http://mediacenter.dailycamera.com/2017/04/22/photos-science-march-and-rally-in-boulder/#1,,
Colorado Springs,"Colorado Springs, CO",outside City Hall,CO,US,-72.6850932,41.7637111,4/22/17,more than 800,800,900,1000,"general protestors; Unite Colorado Springs; The Colorado Springs Independent; the local Democratic, Green and Socialist parties",March for Science,1,rally,0,0,0,0,1,http://gazette.com/hundreds-rally-in-colorado-springs-for-fact-based-policies-on-climate-environment/article/1601554,,
Grand Junction,"Grand Junction, CO",to Lincoln Park,CO,US,-75.1393498,38.7745565,4/22/17,around 750,750,750,750,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.westernslopenow.com/news/local-news/march-for-science/697909487,,
East Lyme,"East Lyme, CT",Niantic Bay Boardwalk; Hole-in-the-Wall beach to Cini Park,CT,US,-77.0368707,38.9071923,4/22/17,na,500,750,1000,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.theday.com/local/20170422/science-not-silence-hundreds-join-east-lyme-march-on-earth-day,,
Hartford,"Hartford, CT",Mortensen Riverfront Plaza,CT,US,-122.0651819,37.9100783,4/22/17,more than 1200,1200,1200,1200,general protestors,March for Science,1,rally,0,0,0,0,1,http://www.courant.com/breaking-news/hc-march-for-science-20170420-story.html#nt=oft12aH-1la1,,
New Haven,"New Haven, CT",Orange Street,CT,US,-108.5506486,39.0638705,4/22/17,between 1000 and 2000,1000,1500,2000,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.nhregister.com/general-news/20170422/more-than-1000-march-in-new-haven-in-support-of-science,,
Lewes,"Lewes, DE",Canalfront Park,DE,US,-72.2295237,41.3531533,4/22/17,dozens,24,24,24,Democratic Women's Club of Worcester County; Together we will; Indivisible Worcester County,March for Science,0,march; rally,0,0,0,0,1,http://www.delawareonline.com/story/news/local/delaware/2017/04/22/science-march-lewes-delaware/100784354/,,
Washington,"Washington, DC",National Mall; marched down Constitution Avenue to Capitol Hill,DC,US,-72.9278835,41.308274,4/22/17,thousands; na,2000,21000,40000,general protestors,March for Science,1,march; rally,,,,,,,http://www.miamiherald.com/news/local/community/miami-dade/article146173374.html,http://resistancereport.com/news/attendance-numbers-march-science/
Clearwater,"Clearwater, FL",,FL,US,-82.3248262,29.6516344,4/22/17,,,0,,,March for Science,0,,,,,,,http://www.citizen-times.com/story/news/local/2017/04/22/march-science-brings-thousands-asheville-streets/100781180/,,
Miami,"Miami, FL",Museum Park; marching along Biscayne Boulevard to the Government Center in downtown,FL,US,-80.1917902,25.7616798,4/22/17,more than a thousand,1000,1000,1000,general protestors,March for Science,1,,,,,,,http://www.miamiherald.com/news/local/community/miami-dade/article146173374.html,,
Gainesville,"Gainesville, FL",,FL,US,-80.0533746,26.7153424,4/22/17,More than a thousand,1000,1000,1000,general protestors,March for Science,0,,,,,,,http://www.houstonchronicle.com/news/science/article/The-Latest-March-for-Science-attracts-thousands-11091330.php,,
News Smyrna Beach,"News Smyrna Beach, FL",,FL,US,-80.0533746,26.7153424,4/22/17,several hundred,300,300,300,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.news-journalonline.com/news/20170422/on-earth-day-locals-march-in-support-of-science,,
St. Petersburg,"St. Petersburg, FL",Poynter Park,FL,US,-80.9269984,29.0258191,4/22/17,na,2000,3500,5000,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.tbreporter.com/politics/thousands-celebrated-earth-day-marching-science-st-pete/,
Tallahassee,"Tallahassee, FL",march ended at the old capitol building,FL,US,-82.8001026,27.9658533,4/22/17,over 4000,4000,4000,4000,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.wctv.tv/content/news/Over-a-thousand-march-for-science-in-Tallahassee-420160303.html,
Titusville,"Titusville, FL",Space View Park,FL,US,-82.6267345,27.7518284,4/22/17,hundreds,200,200,200,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://www.floridatoday.com/story/news/local/2017/04/22/hundreds-titusville-march-science/100796452/,
West Palm Beach,"West Palm Beach, FL",Meyer Amphitheater,FL,US,-83.357567,33.9519347,4/22/17,several hundred,300,300,300,general protestors,March for Science,0,rally,0,0,0,0,1,http://www.mypalmbeachpost.com/news/scientists-march-west-palm-get-our-voice-out-there/SxM0wclHlcspff67Z82KIN/,
West Palm Beach,"West Palm Beach, FL",march from Dreher Park to just across the way from Mar-a-Lago in Palm Beach,FL,US,-80.8075537,28.6122187,4/22/17,(see above),,0,,general protestors,March for Science,0,march; rally,0,0,0,0,0,http://www.mypalmbeachpost.com/news/scientists-march-west-palm-get-our-voice-out-there/SxM0wclHlcspff67Z82KIN/,
Athens,"Athens, GA",on the federal courthouse grounds,GA,US,-84.2807329,30.4382559,4/22/17,600 or more,600,600,600,general protestors,March for Science,0,rally,0,0,0,0,1,http://onlineathens.com/local-news/2017-04-22/hundreds-athens-join-worldwide-marches-science,
Atlanta,"Atlanta, GA",,GA,US,-157.8583333,21.3069444,4/22/17,,12000,13500,15000,general protestors,March for Science,1,march; rally,,,,,,onsite eyewitness using grid-density-counting,
Savannah,"Savannah, GA",started at Johnson Square on East Bryan Street and marched along Bull Street,GA,US,-84.3879824,33.7489954,4/22/17,dozens,24,24,24,One Hundred Miles,March for Science,0,march; rally,0,0,0,0,1,http://www.wtoc.com/story/35218519/march-for-science-held-in-savannah,
Valdosta,"Valdosta, GA",,GA,US,-81.0998342,32.0835407,4/22/17,,,0,,general protestors,March for Science,0,,,,,,,http://www.citizen-times.com/story/news/local/2017/04/22/march-science-brings-thousands-asheville-streets/100781180/,
Honolulu,"Honolulu, HI",University of Hawaii at Manoa; outside Bachman Hall; march Dole and going down University Ave. to King St; Old Stadium Park,HI,US,-83.2784851,30.8327022,4/22/17,about 1000,1000,1000,1000,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://khon2.com/2017/04/21/lane-closures-planned-for-uh-manoas-march-for-science/,
Boise,"Boise, ID",outside Statehouse,ID,US,-87.6297982,41.8781136,4/22/17,thousands,2000,2000,2000,general protestors,March for Science,0,rally,0,0,0,0,1,http://www.boiseweekly.com/boise/march-for-science-fills-idaho-capitol-on-earth-day-record-exchange-celebrates-10th-record-store-day/Content?oid=4841773,http://www.ktvb.com/news/local/march-for-science-draws-crowd-to-idaho-capitol/433413267
Pocatello,"Pocatello, ID","outside Frazier Hall at Idaho State University; starting at the corner of East Carter Street and North Fifth Avenue. 
Marchers walked on the sidewalk to North Fourth Street and headed 
northwest all the way to East Center Street, before returning back to 
the campus via North Fifth Avenue. The march ended at the Pond Student 
Union Building",ID,US,-89.6501481,39.7817213,4/22/17,about 500,500,500,500,general protestors,March for Science,0,march; rally,0,0,0,0,1,http://idahostatejournal.com/members/nearly-participate-in-march-for-science-in-pocatello/article_40326617-79a4-57d2-b9fd-edaa43495d08.html,
Chicago,"Chicago, IL",Columbus Drive; marched south on Columbus Drive before heading to the Museum Campus in the South  Loop,IL,US,-116.2146068,43.6187102,4/22/17,estimate 40000,40000,40000,40000,general protestors,March for Science,1,march; rally,0,0,0,0,1,http://www.chicagotribune.com/news/local/breaking/ct-earth-day-march-to-defend-science-20170422-story.html,
Springfield,"Springfield, IL",State Capitol,IL,US,-84.9994088,41.6347726,4/22/17,over 700,700,700,700,general protestors,March for Science,0,rally,0,0,0,0,1,http://foxillinois.com/news/local/marching-for-science-at-the-old-state-capitol-04-23-2017,
